Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -0.15000      0.99220      0.78248      0.20972
     -0.14000      1.08296      0.85564      0.22731
     -0.13000      0.64164      0.50785      0.13379
     -0.12000      0.58878      0.46823      0.12055
     -0.11000      0.67786      0.54175      0.13611
     -0.10000      0.80720      0.65131      0.15590
     -0.09000      1.02293      0.82988      0.19305
     -0.08000      0.96752      0.78633      0.18119
     -0.07000      0.78309      0.63593      0.14715
     -0.06000      0.47266      0.38379      0.08887
     -0.05000      0.29492      0.24135      0.05357
     -0.04000      0.48536      0.39935      0.08601
     -0.03000      0.59112      0.48691      0.10421
     -0.02000      0.60069      0.49627      0.10442
     -0.01000      0.57760      0.47806      0.09954
      0.00000      0.27536      0.22798      0.04738
      0.01000      0.05051      0.04182      0.00869
      0.02000      0.00343      0.00284      0.00059
      0.03000      0.00009      0.00007      0.00001
      0.04000      0.00000      0.00000      0.00000
      0.05000      0.00000      0.00000      0.00000
      0.06000      0.00000      0.00000      0.00000
      0.07000      0.00000      0.00000      0.00000
      0.08000      0.00000      0.00000      0.00000
      0.09000      0.00000      0.00000      0.00000
      0.10000      0.00000      0.00000      0.00000
      0.11000      0.00000      0.00000      0.00000
      0.12000      0.00000      0.00000      0.00000
      0.13000      0.00000      0.00000      0.00000
      0.14000      0.00000      0.00000      0.00000
      0.15000      0.00000      0.00000      0.00000
      0.16000      0.00000      0.00000      0.00000
      0.17000      0.00000      0.00000      0.00000
      0.18000      0.00000      0.00000      0.00000
      0.19000      0.00000      0.00000      0.00000
      0.20000      0.00000      0.00000      0.00000
      0.21000      0.00000      0.00000      0.00000
      0.22000      0.00000      0.00000      0.00000
      0.23000      0.00000      0.00000      0.00000
      0.24000      0.00000      0.00000      0.00000
      0.25000      0.00000      0.00000      0.00000
      0.26000      0.00000      0.00000      0.00000
      0.27000      0.00000      0.00000      0.00000
      0.28000      0.00000      0.00000      0.00000
      0.29000      0.00000      0.00000      0.00000
      0.30000      0.00000      0.00000      0.00000
      0.31000      0.00000      0.00000      0.00000
      0.32000      0.00000      0.00000      0.00000
      0.33000      0.00000      0.00000      0.00000
      0.34000      0.00000      0.00000      0.00000
      0.35000      0.00000      0.00000      0.00000
      0.36000      0.00000      0.00000      0.00000
      0.37000      0.00000      0.00000      0.00000
      0.38000      0.00000      0.00000      0.00000
      0.39000      0.00000      0.00000      0.00000
      0.40000      0.00000      0.00000      0.00000
