Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -0.59112      4.94703      0.00000      0.00000
     -0.58112      4.24844      0.00000      0.00000
     -0.57112      4.17241      0.00000      0.00000
     -0.56112      6.03909      0.00000      0.00000
     -0.55112      7.63724      0.00000      0.00000
     -0.54112      6.25591      0.00000      0.00000
     -0.53112      4.70797      0.00000      0.00000
     -0.52112      4.94229      0.00000      0.00000
     -0.51112      6.21750      0.00000      0.00000
     -0.50112      6.56347      0.00000      0.00000
     -0.49112      5.88402      0.00000      0.00000
     -0.48112      5.20743      0.00000      0.00000
     -0.47112      4.21516      0.00000      0.00000
     -0.46112      3.64794      0.00000      0.00000
     -0.45112      4.11422      0.00000      0.00000
     -0.44112      5.19197      0.00000      0.00000
     -0.43112      4.94203      0.00000      0.00000
     -0.42112      3.85054      0.00000      0.00000
     -0.41112      3.10423      0.00000      0.00000
     -0.40112      2.61771      0.00000      0.00000
     -0.39112      2.84373      0.00000      0.00000
     -0.38112      3.51392      0.00000      0.00000
     -0.37112      3.41850      0.00000      0.00000
     -0.36112      2.56923      0.00000      0.00000
     -0.35112      1.74994      0.00000      0.00000
     -0.34112      1.39174      0.00000      0.00000
     -0.33112      1.42677      0.00000      0.00000
     -0.32112      1.59937      0.00000      0.00000
     -0.31112      2.17312      0.00000      0.00000
     -0.30112      2.40853      0.00000      0.00000
     -0.29112      1.98073      0.00000      0.00000
     -0.28112      1.47249      0.00000      0.00000
     -0.27112      1.24341      0.00000      0.00000
     -0.26112      1.67272      0.00000      0.00000
     -0.25112      1.87866      0.00000      0.00000
     -0.24112      1.88337      0.00000      0.00000
     -0.23112      1.96967      0.00000      0.00000
     -0.22112      1.43040      0.00000      0.00000
     -0.21112      0.80225      0.00000      0.00000
     -0.20112      0.68783      0.00000      0.00000
     -0.19112      0.57154      0.00000      0.00000
     -0.18112      0.52988      0.00000      0.00000
     -0.17112      0.83591      0.00000      0.00000
     -0.16112      0.90959      0.00000      0.00000
     -0.15112      0.62862      0.00000      0.00000
     -0.14112      0.56344      0.00000      0.00000
     -0.13112      0.57364      0.00000      0.00000
     -0.12112      0.46661      0.00000      0.00000
     -0.11112      0.68399      0.00000      0.00000
     -0.10112      0.92075      0.00000      0.00000
     -0.09112      0.93165      0.00000      0.00000
     -0.08112      0.80186      0.00000      0.00000
     -0.07112      0.46584      0.00000      0.00000
     -0.06112      0.17795      0.00000      0.00000
     -0.05112      0.28910      0.00000      0.00000
     -0.04112      0.54386      0.00000      0.00000
     -0.03112      0.51248      0.00000      0.00000
     -0.02112      0.52766      0.00000      0.00000
     -0.01112      0.55135      0.00000      0.00000
     -0.00112      0.25850      0.00000      0.00000
      0.00888      0.04545      0.00000      0.00000
      0.01888      0.00294      0.00000      0.00000
      0.02888      0.00007      0.00000      0.00000
      0.03888      0.00000      0.00000      0.00000
      0.04888      0.00000      0.00000      0.00000
      0.05888      0.00000      0.00000      0.00000
      0.06888      0.00000      0.00000      0.00000
      0.07888      0.00000      0.00000      0.00000
      0.08888      0.00000      0.00000      0.00000
      0.09888      0.00000      0.00000      0.00000
      0.10888      0.00000      0.00000      0.00000
      0.11888      0.00000      0.00000      0.00000
